label,run_dir,task,block,step,loss,g_mean,g_frac>0.5,lr,g_b0_Q1,g_b0_Q2,g_b0_Q3,g_b0_Q4
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,80,6.422491073608398,0.2630900740623474,0.1064453125,0.00019019059254787862,0.3544422686100006,0.2746233344078064,0.21033568680286407,0.21295896172523499
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,80,6.422491073608398,0.3186185359954834,0.0517578125,0.00019019059254787862,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,250,5.499370574951172,0.9357099533081055,0.9990234375,0.00019999999494757503,0.9172719717025757,0.9400813579559326,0.9416825771331787,0.9438040256500244
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,250,5.499370574951172,0.9975377321243286,1.0,0.00019999999494757503,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,290,6.63875150680542,0.0002119592681992799,0.0,0.0001955950865522027,0.0008456191280856729,8.087798732958618e-07,7.213708386188955e-07,6.876751967865857e-07
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,290,6.63875150680542,0.791731595993042,1.0,0.0001955950865522027,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,300,6.5420308113098145,0.0031904526986181736,0.0029296875,0.00019314915698487312,0.012759614735841751,8.675157232573838e-07,7.061728410917567e-07,6.232067448763701e-07
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,300,6.5420308113098145,0.9949355125427246,1.0,0.00019314915698487312,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,330,5.963119983673096,0.0030537128914147615,0.00390625,0.00018281153461430222,0.012212998233735561,6.818414703957387e-07,6.260943337110803e-07,5.43537680641748e-07
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,330,5.963119983673096,0.38805222511291504,0.103515625,0.00018281153461430222,,,,
